世青盃
亞洲杯U20
俄盃
俄超
南球杯
南球盃
南美預選
南非洲盃
國際友誼
墨西聯春
墨西聯秋
墨西聯附
巴聖錦標
巴西甲
巴西盃
德乙
德乙 昇
德乙升
德乙降
德國盃
德甲
意甲
意盃
挪威盃
挪超
挪超杯
日皇盃
日聯盃
日職乙
日職聯
智利甲
欧青U21
欧青U21外
歐冠盃
歐國聯
歐會盃
歐洲盃
歐霸盃
法乙
法國盃
法甲
澳洲甲
澳洲甲附
球會友誼
瑞典杯
瑞典盃
瑞典超
美公開賽
美冠盃
美冠聯
美洲聯
美職業
自由杯
自由盃
芬蘭盃
芬超
英乙
英冠
英冠昇
英甲
英超
英足總盃
英錦賽
荷乙
荷乙附
荷甲
荷甲 附
荷蘭盃
葡盃
葡超
蘇超
蘇超 冠
西乙
西甲
西盃
阿根廷盃
阿甲
非洲盃
韓K聯
韓足總
麒麟盃
